,Concept URI,Concept notation,Concept notation,Concept label,,,,,,
ethicalIssue0032,http://www.w3.org/ethical_list/eao-skos#InformedconsetOtherBasicHumanRight,OtherBasicHumanRight,Other basic human right,Other basic human right,,,"Right to engage in peacful protest, Rigth to have a fair trial, Rigth to life, Rigth to practice one's religion, Rigth to pursue happiness, Rigth to receive an education, Rigth to seek asylum, Rigth to vote",Right,,
ethicalIssue0033,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsabilityRightToEngageInPeacfulProtest,RightToEngageInPeacfulProtest,Right to engage in peacful protest,Right to engage in peacful protest,,,,Other basic human right,,
ethicalIssue0034,http://www.w3.org/ethical_list/eao-skos#RightHumanDignityRigthToHaveAFairTrial,RigthToHaveAFairTrial,Rigth to have a fair trial,Rigth to have a fair trial,,,,Other basic human right,,
ethicalIssue0035,http://www.w3.org/ethical_list/eao-skos#FreedomPrivacyRigthToLife,RigthToLife,Rigth to life,Rigth to life,,,,Other basic human right,https://w3id.org/dpv/rights/eu#A2-RightToLife,
ethicalIssue0036,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssemblyInformationPrivacyRigthToPracticeOne'SReligion,RigthToPracticeOne'SReligion,Rigth to practice one's religion,Rigth to practice one's religion,,,,Other basic human right,"Article10-Freedom of thought, conscience and religion",
ethicalIssue0037,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovementBodilyPrivacyRigthToPursueHappiness,RigthToPursueHappiness,Rigth to pursue happiness,Rigth to pursue happiness,,,,Other basic human right,,
ethicalIssue0038,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpressionRelationalPrivacyRigthToReceiveAnEducation,RigthToReceiveAnEducation,Rigth to receive an education,Rigth to receive an education,,,,Other basic human right,https://w3id.org/dpv/rights/eu#A14-RightToEducation,
ethicalIssue0039,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresionPropertyRigthToSeekAsylum,RigthToSeekAsylum,Rigth to seek asylum,Rigth to seek asylum,,,,Other basic human right,https://w3id.org/dpv/rights/eu#A18-RightToAsylum,
ethicalIssue0040,http://www.w3.org/ethical_list/eao-skos#AutonomyIntelectualPropertyRigthsRigthToVote,RigthToVote,Rigth to vote,Rigth to vote,,,,Other basic human right,http://metadata.un.org/thesaurus/1005570,
ethicalIssue0041,http://www.w3.org/ethical_list/eao-skos#AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinionsRigthToPropertyJustice,Justice,Justice,Justice,,,Capabilities,,https://w3id.org/dpv/dpv-owl/rights/eu#T6-Justice,
